state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
TAS,A,1,DUDLEY,Todd,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
TAS,A,2,LOCKWOOD,Daria,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
TAS,B,1,MAV,Steve,Pauline Hanson's One Nation,Pauline Hanson's One Nation
TAS,B,2,BUTTON,Norelle,Pauline Hanson's One Nation,Pauline Hanson's One Nation
TAS,C,1,DAVIS,Ivan,Animal Justice Party,Animal Justice Party
TAS,C,2,THOMAS-WURTH,Virginia,Animal Justice Party,Animal Justice Party
TAS,D,1,URQUHART,Anne,Australian Labor Party,Australian Labor Party
TAS,D,2,POLLEY,Helen,Australian Labor Party,Australian Labor Party
TAS,D,3,RAINBIRD,Kate,Australian Labor Party,Australian Labor Party
TAS,D,4,HULME,Daniel,Australian Labor Party,Australian Labor Party
TAS,D,5,ROBERTS,Wayne,Australian Labor Party,Australian Labor Party
TAS,D,6,GOURLAY,Chris,Australian Labor Party,Australian Labor Party
TAS,E,1,OWEN,Matt,Legalise Cannabis Australia,Legalise Cannabis Australia
TAS,E,2,FITZGIBBON,Oliver,Legalise Cannabis Australia,Legalise Cannabis Australia
TAS,F,1,WILLIAMS,Ray,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
TAS,F,2,DI FALCO,Carlo,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
TAS,F,3,JONES,Brenton Ronald,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
TAS,G,1,BROOMHALL,Ray,Australian Federation Party,Australian Federation Party
TAS,G,2,STRINGER,Justin,Australian Federation Party,Australian Federation Party
TAS,H,1,MINSHULL,Leanne,The Local Party,The Local Party
TAS,H,2,POULTON,Linda,The Local Party,The Local Party
TAS,H,3,VAN RAAY,Lara,The Local Party,The Local Party
TAS,I,1,WHISH-WILSON,Peter,The Greens,The Greens
TAS,I,2,BLEYER,Vanessa,The Greens,The Greens
TAS,I,3,BADGER,Tabatha,The Greens,The Greens
TAS,J,1,FIELD,Topher,Liberal Democrats,Liberal Democrats
TAS,J,2,CROFT,Chris,Liberal Democrats,Liberal Democrats
TAS,K,1,ADAMS,Diana,United Australia Party,United Australia Party
TAS,K,2,HENNESSY,Alan,United Australia Party,United Australia Party
TAS,L,1,DUNIAM,Jonno,Liberal,Liberal
TAS,L,2,ASKEW,Wendy,Liberal,Liberal
TAS,L,3,ABETZ,Eric,Liberal,Liberal
TAS,M,1,TYRRELL,Tammy,Jacqui Lambie Network,Jacqui Lambie Network
TAS,M,2,GROAT,Sarah,Jacqui Lambie Network,Jacqui Lambie Network
TAS,M,3,LAMBIE,Tom,Jacqui Lambie Network,Jacqui Lambie Network
TAS,N,1,KERSHAW,Lynne,Informed Medical Options Party,Informed Medical Options Party
TAS,N,2,PICKERING,Matthew,Informed Medical Options Party,Informed Medical Options Party
TAS,UG,1,CROTHERS,Steve,,Independent
TAS,UG,2,EDWARDS,Fenella,,Independent
VIC,A,1,VEGA,Yolanda,Reason Australia,Reason Australia
VIC,A,2,MILLWARD,Harry,Reason Australia,Reason Australia
VIC,B,1,RICHARDSON,Damien,,
VIC,B,2,McBRIDE,John,,
VIC,C,1,GREEN,Leonie,Australian Democrats,Australian Democrats
VIC,C,2,JAGOE,Stephen Peter,Australian Democrats,Australian Democrats
VIC,D,1,HENDERSON,Sarah,Liberal/The Nationals,Liberal
VIC,D,2,McKENZIE,Bridget,Liberal/The Nationals,The Nationals
VIC,D,3,MIRABELLA,Greg,Liberal/The Nationals,Liberal
VIC,D,4,KMETJ,Chrestyna,Liberal/The Nationals,Liberal
